,City,City ID,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,pevek,2122090,100,RU,1586547028,86,69.7,170.31,1.17,22.48
1,saint george,5546220,1,US,1586547016,44,37.1,-113.58,60.8,4.7
2,luderitz,3355672,0,NA,1586547058,77,-26.65,15.16,60.8,4.7
3,chokurdakh,2126123,0,RU,1586547201,96,70.63,147.92,18.79,10.54
4,da nang,1583992,20,VN,1586547201,88,16.07,108.22,77.0,4.68
5,ribeira grande,3372707,20,PT,1586547174,77,38.52,-28.7,64.4,3.36
6,geraldton,2070998,0,AU,1586547021,94,-28.77,114.6,69.8,4.7
7,mount gambier,2156643,75,AU,1586546958,93,-37.83,140.77,53.6,19.46
8,yakeshi,2033536,0,CN,1586547201,58,49.28,120.73,33.93,3.42
9,bredasdorp,1015776,26,ZA,1586547201,82,-34.53,20.04,62.6,2.59
10,klaksvik,2618795,100,FO,1586547202,87,62.23,-6.59,44.6,16.11
11,albany,5106841,75,US,1586547022,49,42.6,-73.97,48.0,24.16
12,saskylakh,2017155,97,RU,1586547202,92,71.92,114.08,22.37,17.38
13,puerto ayora,3652764,20,EC,1586547034,66,-0.74,-90.35,86.0,5.82
14,iqaluit,5983720,40,CA,1586547202,72,63.75,-68.51,14.0,2.24
15,new norfolk,2155415,75,AU,1586547176,76,-42.78,147.06,53.6,4.7
16,victoria,1819729,40,HK,1586547202,83,22.29,114.16,73.99,9.17
17,phan thiet,1571058,100,VN,1586547203,82,10.93,108.1,75.42,5.73
18,barrow,5880054,90,US,1586547054,76,71.29,-156.79,-4.0,13.87
19,chara,2025630,96,RU,1586547203,69,56.91,118.26,28.78,1.43
20,batagay,2027044,100,RU,1586547195,90,67.63,134.63,23.38,6.4
21,fort nelson,5955902,40,CA,1586547203,39,58.81,-122.7,28.4,10.29
22,solvychegodsk,490743,89,RU,1586547203,96,61.33,46.92,25.95,5.97
23,ushuaia,3833367,75,AR,1586547204,61,-54.8,-68.3,48.2,27.51
24,kotdwara,1266014,0,IN,1586547204,38,29.75,78.53,70.05,5.48
25,huangchuan,1807553,100,CN,1586547204,90,32.13,115.04,45.32,12.26
26,bulolo,2098869,100,PG,1586547204,66,-7.2,146.65,71.67,0.69
27,georgetown,1735106,20,MY,1586547204,94,5.41,100.34,82.4,4.14
28,berkeley,5327684,75,US,1586547082,67,37.87,-122.27,68.0,6.93
29,east london,1006984,100,ZA,1586547204,77,-33.02,27.91,70.11,5.03
30,wahiawa,5853992,90,US,1586547205,83,21.5,-158.02,78.8,5.82
31,coremas,3401725,98,BR,1586547205,60,-7.01,-37.95,81.66,1.72
32,krutikha,1501706,14,RU,1586547205,92,53.96,81.21,31.08,5.35
33,yellowknife,6185377,75,CA,1586547205,61,62.46,-114.35,15.8,17.22
34,okhotsk,2122605,0,RU,1586547205,93,59.38,143.3,23.58,6.98
35,rikitea,4030556,74,PF,1586547205,74,-23.12,-134.97,76.8,5.53
36,busselton,2075265,80,AU,1586547111,51,-33.65,115.33,68.0,11.97
37,avarua,4035715,100,CK,1586547041,94,-21.21,-159.78,80.6,6.93
38,ilorin,2337639,48,NG,1586547206,70,8.5,4.55,86.0,2.75
39,moron,3430545,20,AR,1586547177,52,-34.65,-58.62,72.0,10.29
40,nome,5870133,75,US,1586547206,79,64.5,-165.41,26.6,10.29
41,grindavik,3416888,90,IS,1586547206,86,63.84,-22.43,41.0,14.99
42,guangshui,1809879,100,CN,1586547206,85,31.62,114.0,45.36,13.85
43,saquarema,3448011,75,BR,1586547206,83,-22.92,-42.51,73.4,8.05
44,pacific grove,5380437,1,US,1586547183,72,36.62,-121.92,64.99,6.93
45,visby,2662689,11,SE,1586547206,74,57.64,18.3,37.0,3.36
46,feldru,678358,22,RO,1586547207,54,47.28,24.6,39.99,1.99
47,novobirilyussy,1508260,34,RU,1586547207,94,56.95,90.67,29.68,5.17
48,kapaa,5848280,1,US,1586547207,78,22.08,-159.32,75.2,5.82
